Company,City,Starting Year,Founders,Industries,Description,No. of Employees,Funding Amount in $,Funding Round,No. of Investors,Company_clean,Founders_clean,founders_count,startup_clean,SeriesA_flag,num_funding_rounds,early_total_funding,unique_investors_count
Billdesk,Ahmedabad,2000,Ajay Kaushal,"Finance, FinTech, Payments, Property Development, Rental","BillDesk, a subsidiary of IndiaIdeas.com Ltd., was founded in early 2000 to address the problems that most of us have with paying bills.",251-500,"₹241,361,584",4,7,billdesk,Ajay Kaushal,1,billdesk,0.0,3.0,618.75,2.0
Flatheads,Bengaluru,2019,"Ganesh Balakrishnan, Utkarsh Biradar","E-Commerce, Fashion, Retail, Shoes, Shopping",Flatheads is a global lifestyle brand that designs and manufactures shoes in India. Flatheads was the first company in India to introduce bamboo footwear.,Nov-50,"₹725,000",2,7,flatheads,"Ganesh Balakrishnan, Utkarsh Biradar",2,,0.0,0.0,0.0,0.0
Signzy,Bengaluru,2015,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Artificial Intelligence, Finance, Financial Services, FinTech, Risk Management, Software","Signzy is an AI-powered fintech business that provides banks, NBFCs, and other financial institutions with a digital onboarding solution.",101-250,"₹12,600,000",6,12,signzy,"Ankit Ratan, Ankur Pandey, Arpit Ratan",3,signzy,1.0,5.0,491.05,9.0
RAW Pressery,Mumbai,2014,Anuj Rakyan,"Delivery, Food and Beverage, Food Processing, Organic Food","RAW Pressery is a clean-label beverage company that sells cold-pressed juices, smoothies, soups, and other products.",101-250,"₹41,255,467",12,7,raw pressery,Anuj Rakyan,1,raw pressery,0.0,2.0,49.5,4.0
WorkIndia,Mumbai,2015,"Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao","Human Resources, Recruiting, Staffing Agency",WorkIndia is the largest blue-collar job portal and product firm in India.,51-100,"₹6,390,562",3,4,workindia,"Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao",8,workindia,0.0,3.0,53.13,5.0
WebEngage,Mumbai,2011,"Ankit Utreja, Avlesh Singh","Enterprise Software, Marketing Automation, Personalization, SaaS",Consumer firms' fastest-growing multi-channel Marketing Automation package and CDP. Improve user retention and increase revenue from existing customers!,101-250,"₹6,100,000",7,8,webengage,"Ankit Utreja, Avlesh Singh",2,webengage,0.0,1.0,0.0,1.0
Chumbak,Bengaluru,2009,Subhra Chadda,"E-Commerce, Lifestyle, Shopping","Chumbak is a gifting firm situated in Bangalore, India. Chumbak, founded by Subhra Chadda, distributes trendy t-shirts, tins, coffee mugs, and shot glasses.",Nov-50,"₹26,963,740",6,5,chumbak,Subhra Chadda,1,chumbak,0.0,2.0,121.28,2.0
Mu Sigma,Bengaluru,2004,DHIRAJ C RAJARAM,"Analytics, Business Information Systems, Information Services, Information Technology, Software",Mu Sigma is a management consulting firm that specializes in decision sciences and big data analysis.,1001-5000,"₹211,350,000",7,4,mu sigma,DHIRAJ C RAJARAM,1,,0.0,0.0,0.0,0.0
Myelin Foundry,Bengaluru,2019,"Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda","Artificial Intelligence, Health Care, Industrial, Information Services, Information Technology, Machine Learning, Media and Entertainment","Myelin Foundry creates Artificial Intelligence algorithms for edge devices based on video, audio, and sensor data.",Nov-50,"₹2,001,796",4,5,myelin foundry,"Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda",3,myelin foundry,0.0,2.0,8.25,2.0
JUSPAY,Kormangala,2012,"Ramanathan RV, Vimal Kumar","FinTech, Internet, Mobile Payments, Payments",Juspay is a company that creates an internet platform for making mobile payments.,51-100,"₹27,420,684",2,6,juspay,"Ramanathan RV, Vimal Kumar",2,juspay,0.0,2.0,224.85,5.0
DaMENSCH,Bengaluru,2018,Not Available,"E-Commerce, Men's, Textiles",DaMENSCH is a men's clothing designer and retailer.,Nov-50,"₹7,650,000",3,5,damensch,Not Available,1,damensch,0.0,1.0,498.0,2.0
InstantPay,New Delhi,2013,Shailendra Agarwal,"E-Commerce, Electronics, Financial Exchanges, Financial Services, Mobile Payments, Payments, Transaction Processing",Larger India's Financial Services,51-100,"₹4,080,000",1,2,instantpay,Shailendra Agarwal,1,instantpay,0.0,1.0,0.0,2.0
ITILITE,Bengaluru,2017,"Anish Khadiya, Mayank Kukreja","Business Travel, Information Technology, Internet",ITILITE is a digital travel management application that makes booking flights and hotels easier.,101-250,"₹17,271,725",3,4,itilite,"Anish Khadiya, Mayank Kukreja",2,itilite,0.0,1.0,107.0,2.0
Fyle,Bengaluru,2016,"Sivaramakrishnan Narayanan, Yashwanth Madhusudan","Accounting, Artificial Intelligence, Business Information Systems, Business Travel, Finance, FinTech, SaaS",Fyle is a business expenditure management tool that is smart.,Nov-50,"₹10,361,312",5,10,fyle,"Sivaramakrishnan Narayanan, Yashwanth Madhusudan",2,fyle,0.0,4.0,23.490000000000002,3.0
Trulymadly.com,New Delhi,2013,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Apps, Dating, Internet",Trulymadly is a matchmaking algorithm-based dating platform.,Nov-50,"₹8,923,539",4,23,trulymadly.com,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia",3,,0.0,0.0,0.0,0.0
Quess Corp,Bengaluru,2007,Ajit Isaac,"Information Technology, Recruiting",Quess Corp Ltd. was founded in 2007 and is India's largest business services provider.,10001+,"₹26,500,000",1,4,quess corp,Ajit Isaac,1,,0.0,0.0,0.0,0.0
FreshMenu,Bengaluru,2014,Rashmi Daga,"Delivery, Food and Beverage, Food Delivery, Food Processing",FreshMenu is a food delivery service that serves high-quality fresh and flavorful cuisines.,501-1000,"₹25,837,687",7,8,freshmenu,Rashmi Daga,1,freshmenu,0.0,2.0,276.38,3.0
NODWIN Gaming,Gurgaon,2012,Gautam Virk,"Events, Gaming, Internet, Social Media, Sports",NODWIN Gaming is a gaming solutions provider and e-sports event organizer.,Nov-50,"₹19,680,000",1,1,nodwin gaming,Gautam Virk,1,,0.0,0.0,0.0,0.0
IDfy,Mumbai,2011,"Ashok Hariharan, Hatim Baheranwala, Vineet Jawa","E-Commerce, FinTech, Fraud Detection, Information Services, Information Technology, Insurance, Internet, Machine Learning",IDfy is a people information company that helps businesses fight fraud by providing services like background checks.,101-250,"₹5,168,764",5,8,idfy,"Ashok Hariharan, Hatim Baheranwala, Vineet Jawa",3,idfy,0.0,2.0,17.0,5.0
Kinara Capital,Bengaluru,2011,Hardika Shah,"Finance, Financial Services, FinTech, Lending, Micro Lending, Social Entrepreneurship","Kinara Capital is a lending organization that offers small business owners flexible, collateral-free loans.",251-500,"₹70,196,840",8,10,kinara capital,Hardika Shah,1,kinara capital,0.0,1.0,41.25,1.0
Niki,Bengaluru,2015,"Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi","Android, Natural Language Processing","Ramu Kaka, Full Stack | Ushering Bharat into the Internet Economy 2.0",51-100,"₹6,287,653",10,14,niki,"Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi",4,,0.0,0.0,0.0,0.0
MyGate,Bengaluru,2016,"Abhishek Kumar, Shreyans Daga, Vijay Arisetty","Apps, Information Services, Information Technology, Mobile Apps",MyGate is a smart smartphone app that makes check-ins easier in any location.,501-1000,"₹67,262,961",3,4,mygate,"Abhishek Kumar, Shreyans Daga, Vijay Arisetty",3,,0.0,0.0,0.0,0.0
Neogrowth,Mumbai,2010,"Dhruv Khaitan, Piyush Khaitan","Business Development, Finance, Financial Services, Market Research",NeoGrowth Credit Pvt Ltd is an RBI-registered non-deposit taking NBFC that provides short-term business loans to Indian merchants.,101-250,"₹107,798,787",7,9,neogrowth,"Dhruv Khaitan, Piyush Khaitan",2,neogrowth,0.0,2.0,519.75,7.0
Paytm Mall,Noida,2010,Vijay Shekhar Sharma,"E-Commerce, E-Commerce Platforms, Internet, Marketplace, Retail, Shopping",Paytm Mall is a division of One97 Communications' Paytm brand and an online and mobile marketplace.,1001-5000,"₹795,000,000",3,4,paytm mall,Vijay Shekhar Sharma,1,,0.0,0.0,0.0,0.0
Hopscotch,Mumbai,2011,Rahul Anand,"E-Commerce, Internet, Retail","Hopscotch gives you behind-the-scenes access to international businesses for babies, children, and mothers.",251-500,"₹52,800,000",5,16,hopscotch,Rahul Anand,1,hopscotch,0.0,3.0,2273.0,4.0
Setu,Bengaluru,2018,Sahil Kini,Financial Services,Setu's goal is to boost economic growth by making formal finance more accessible to everyone.,Nov-50,"₹18,549,687",2,4,setu,Sahil Kini,1,setu,0.0,2.0,145.88,4.0
Blue Tokai Coffee Roasters,Delhi,2012,"Matt Chitharanjan, Namrata Asthana","Consumer Goods, Delivery, Food and Beverage, Food Processing",Blue Tokai Coffee Roasters offers a dedicated online marketplace for the sale of roasted coffee.,01-Oct,"₹5,569,257",3,4,blue tokai coffee roasters,"Matt Chitharanjan, Namrata Asthana",2,,0.0,0.0,0.0,0.0
Avanse Financial Services,Mumbai,2012,Amit Gainda,"Education, Finance, Real Estate, Service Industry","Avanse, a non-banking finance firm regulated by the Reserve Bank of India, is an education finance company (NBFC).",251-500,"₹60,157,500",3,2,avanse financial services,Amit Gainda,1,avanse financial services,0.0,1.0,1249.0,1.0
Gaana,Noida,2011,Avinash Mudaliar,"Apps, Music, Music Streaming, Online Portals","Gaana is an Indian music streaming service that features songs from Bollywood, Hindi, regional, and international artists.",251-500,"₹166,195,349",3,3,gaana,Avinash Mudaliar,1,gaana,0.0,3.0,1370.75,5.0
LiquiLoans,Mumbai,2018,"Achal Mittal, Gautam Adukia",Financial Services,Liquiloans is a platform for peer-to-peer lending.,Nov-50,"₹1,784,442",3,6,liquiloans,"Achal Mittal, Gautam Adukia",2,,0.0,0.0,0.0,0.0
Clovia,Noida,2012,"Neha Kant, Pankaj Vermani, Suman Chowdhury","E-Commerce, Fashion, Lingerie, Retail, Women's","Clovia is a lingerie company that makes and distributes fashionable underwear, nightwear, and shapewear.",251-500,"₹22,685,276",5,7,clovia,"Neha Kant, Pankaj Vermani, Suman Chowdhury",3,clovia,0.0,3.0,406.25,5.0
Scripbox,Bengaluru,2012,"Ashok Kumar, Atul Shinghal, Sanjiv Singhal","Angel Investment, Finance, Financial Services, FinTech, Wealth Management",Scripbox is a mutual fund distributor in India that owns and manages an online investing platform.,101-250,"₹23,500,000",4,12,scripbox,"Ashok Kumar, Atul Shinghal, Sanjiv Singhal",3,scripbox,0.0,2.0,20.63,7.0
RateGain,Noida,2004,Bhanu Chopra,"Hospitality, Information Technology, Travel",RateGain is a pioneer in the field of hospitality and travel technology.,501-1000,"₹50,000,000",1,1,rategain,Bhanu Chopra,1,rategain,0.0,1.0,412.5,1.0
Epigamia,Mumbai,2007,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker","Consumer, Fast-Moving Consumer Goods, Food and Beverage, Health Care, Nutrition, Snack Food","Epigamia is a high-quality, all-natural Greek yogurt that helps you make healthier choices without compromising flavor.",101-250,"₹56,286,865",10,8,epigamia,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker",6,epigamia,0.0,1.0,20.96,1.0
MCaffeine,Mumbai,2015,"Tarun Sharma, Vikas Lachhwani","Beauty, Consumer, Consumer Goods, E-Commerce, Lifestyle","MCaffeine is a personal care line that includes caffein-infused products for the face, body, and hair.",Nov-50,"₹5,781,631",4,7,mcaffeine,"Tarun Sharma, Vikas Lachhwani",2,mcaffeine,0.0,5.0,415.88,10.0
Chaayos,New Delhi,2012,"Nitin Saluja, Raghav Verma","Food and Beverage, Food Delivery, Restaurants, Tea",Chaayos is a chai tea shop that uses technology to provide a personalized cup of chai to customers.,1001-5000,"₹40,833,000",6,9,chaayos,"Nitin Saluja, Raghav Verma",2,chaayos,0.0,5.0,362.75,3.0
TVF,Mumbai,2015,Dhawal Gusain,"Digital Entertainment, E-Commerce, Film, Internet, Media and Entertainment",TVF Play is an Indian premium entertainment portal aimed at teenagers.,101-250,"₹20,970,000",3,1,tvf,Dhawal Gusain,1,,0.0,0.0,0.0,0.0
WOW Skin Science India Ltd,Bengaluru,2016,Not Available,"Beauty, Consumer Goods, Cosmetics, Fashion",WOW Skin Science is a line of anti-aging products. Night is a facial care company that started on the internet.,Not Available,₹0,0,0,wow skin science india ltd,Not Available,1,,0.0,0.0,0.0,0.0
Financial Software & Systems,Chennai,1991,Nagaraj Mylandla,"Debit Cards, Financial Services, FinTech, Information Services, Information Technology, Mobile Payments, Payments, Software, Transaction Processing",Financial Software &amp; Systems (FSS) is a leading global provider of payment technology.,1001-5000,"₹129,250,000",4,4,financial software & systems,Nagaraj Mylandla,1,,0.0,0.0,0.0,0.0
Ezetap,Bengaluru,2011,"Abhijit Bose, Bala Parthasarathy, Bhaktha Keshavachar, Sanjay Swamy, Shripati Acharya","Mobile, Payments, Point of Sale, Software",Ezetap Mobile Solutions is a company that creates payment devices.,101-250,"₹51,000,000",6,8,ezetap,"Abhijit Bose, Bala Parthasarathy, Bhaktha Keshavachar, Sanjay Swamy, Shripati Acharya",5,ezetap,0.0,2.0,338.25,7.0
Financepeer,Mumbai,2017,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Financial Services, FinTech, Peer to Peer",Financepeer is a peer-to-peer lending platform powered by artificial intelligence.,Nov-50,"₹3,709,141",3,9,financepeer,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye",4,financepeer,0.0,1.0,830.0,2.0
Haptik,Mumbai,2013,"Aakrit Vaish, Swapan Rajdev","Artificial Intelligence, Customer Service, Machine Learning, Messaging, Real Time, Software","One of the largest Conversational AI firms in the world, with over 100 million devices and over 3 billion conversations handled.",101-250,"₹12,200,000",2,3,haptik,"Aakrit Vaish, Swapan Rajdev",2,haptik,0.0,1.0,0.0,1.0
GirnarSoft,Jaipur,2007,"Amit Jain, Anurag Jain","Developer Tools, Enterprise Software, Mobile, Software, Web Development",GirnarSoft is an IT company that focuses on providing corporate value through offshore and outsourced software development.,501-1000,"₹108,650,000",5,5,girnarsoft,"Amit Jain, Anurag Jain",2,,0.0,0.0,0.0,0.0
Meesho,Bengaluru,2015,"Sanjeev Barnwal, Vidit Aatrey","E-Commerce, E-Commerce Platforms, Mobile Apps, Retail, Social Media",Meesho is an online reselling platform that allows anyone to establish a business without having to put up any money.,1001-5000,"₹515,200,000",9,25,meesho,"Sanjeev Barnwal, Vidit Aatrey",2,meesho,0.0,7.0,2064.21,12.0
Lenskart,Faridabad,2010,"Amit Chaudhary, Peyush Bansal","Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping",Lenskart is an online eyeglasses retail portal established in India.,251-500,"₹554,629,632",10,15,lenskart,"Amit Chaudhary, Peyush Bansal",2,lenskart,0.0,7.0,2451.5,11.0
Udaan,Bengaluru,2016,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta","B2B, Business Development, E-Commerce, Internet, Retail","Udaan is a business-to-business (B2B) commerce platform that connects manufacturers, traders, retailers, and wholesalers in one place.",5001-10000,"₹1,179,919,113",6,13,udaan,"Amod Malviya, Sujeet Kumar, Vaibhav Gupta",3,udaan,0.0,6.0,9450.0,7.0
Zolve,Bengaluru,2020,Not Available,"Banking, Financial Services","Zolve gives financial aid to immigrants, allowing them to become financially self-sufficient.",Nov-50,"₹15,000,000",1,9,zolve,Not Available,1,,0.0,0.0,0.0,0.0
SafexPay,Thane,2017,Ravi Gupta,"FinTech, Payments",Safexpay is a B2B2B finance company that specializes in platform and API infrastructure for businesses all over the world.,51-100,"₹5,280,000",1,2,safexpay,Ravi Gupta,1,,0.0,0.0,0.0,0.0
Pariksha,Pune,2015,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","E-Learning, EdTech, Education, Skill Assessment","Pariksha - The Success App is India's leading vernacular test preparation provider, catering to India's mobile first internet users.",51-100,"₹6,065,079",7,20,pariksha,"Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat",4,pariksha,0.0,1.0,0.0,4.0
Fyllo,Bengaluru,2019,"Sachin Gautam, Sudhanshu Rai, Sumit Sheoran","Agriculture, AgTech, Artificial Intelligence, Internet of Things",Fyllo is a precision agriculture service provider that uses IoT and AI.,Nov-50,"₹557,033",4,6,fyllo,"Sachin Gautam, Sudhanshu Rai, Sumit Sheoran",3,,0.0,0.0,0.0,0.0
CredFlow,New Delhi,2019,Kunal Aggarwal,"Credit, Financial Services",CredFlow offers financial services that help you automate your cash flow.,01-Oct,"₹1,824,000",1,4,credflow,Kunal Aggarwal,1,,0.0,0.0,0.0,0.0
HalaPlay Technologies,Bengaluru,2016,Swapnil Saurav,"Digital Entertainment, Fantasy Sports, Sports",HalaPlay Technologies is a platform for daily fantasy sports.,01-Oct,"₹7,964,767",3,8,halaplay technologies,Swapnil Saurav,1,halaplay technologies,1.0,2.0,50.0,1.0
